dens densp densn dense densv mup mun mue muv nup nun xm vsigma vomega vrho E Eh El P Ph Pl S Sh Sl U Uh Ul T
0.001 0.000217132 0.000783532 0.000216562 0.000183449 938.356 939.871 36.5483 35.0329 936.516 937.556 935.905 0.0032958 0.00221278 -0.000506568 0.950925 0.940196 0.0107297 0.00386059 0.000240466 0.00362012 0.00459094 0.000970818 2.87992e-05 0.950927 0.940197 0.0107297 0.279733
0.002 0.000431557 0.0015685 0.000431531 0.000368509 937.485 940.094 46.3379 43.7289 933.806 935.461 932.829 0.00657185 0.00442551 -0.00101585 1.90658 1.87951 0.0270645 0.00951477 0.000422263 0.0090925 0.0109854 0.00189285 0.000106989 1.90658 1.87951 0.0270645 0.432524
0.003 0.000664315 0.0023357 0.000664287 0.000535709 936.619 940.146 53.1244 49.5969 931.086 933.212 929.77 0.00982965 0.00663815 -0.00149288 2.86588 2.81936 0.0465192 0.0157895 0.000359287 0.0154302 0.018271 0.00284078 0.000159082 2.86588 2.81936 0.0465192 0.566489
0.004 0.000891095 0.00310891 0.000891094 0.000708906 935.714 940.143 58.8327 54.4031 928.333 930.903 926.727 0.0130698 0.00885065 -0.00198015 3.82747 3.7592 0.0682683 0.0229165 6.06234e-05 0.0228559 0.0266651 0.00380921 0.000190793 3.82747 3.7592 0.0682683 0.691956
0.005 0.00113281 0.00386762 0.00113242 0.000867578 934.844 940.079 63.4997 58.2643 925.601 928.545 923.701 0.0162933 0.011063 -0.00244082 4.79127 4.69924 0.0920294 0.0300472 -0.000584413 0.0306316 0.0353767 0.00474511 0.000254673 4.79128 4.69925 0.0920294 0.799932
0.006 0.001369 0.00463121 0.00136881 0.00103119 933.957 939.999 67.7294 61.6876 922.858 926.168 920.689 0.0195005 0.0132751 -0.0029095 5.75597 5.63855 0.117422 0.0376882 -0.00149675 0.0391849 0.044868 0.00568303 0.00031685 5.75597 5.63855 0.117422 0.90278
0.007 0.001609 0.00539111 0.0016089 0.0011911 933.083 939.898 71.4987 64.683 920.123 923.774 917.692 0.0226918 0.015487 -0.00337061 6.72206 6.57775 0.144313 0.0454388 -0.00271569 0.0481545 0.0547648 0.0066103 0.000389627 6.72206 6.57775 0.144313 0.99865
0.008 0.00185229 0.00614778 0.00185223 0.00134777 932.22 939.783 74.9153 67.3519 917.396 921.368 914.71 0.0258679 0.0176986 -0.00382486 7.68932 7.51675 0.172561 0.0532507 -0.00423537 0.057486 0.0650161 0.00753012 0.000469833 7.68932 7.51676 0.172561 1.08936
0.009 0.00209988 0.00690016 0.00209985 0.00150015 931.371 939.655 78.0927 69.809 914.681 918.955 911.742 0.029029 0.0199099 -0.00427022 8.65759 8.45552 0.202073 0.0612318 -0.00606051 0.0672923 0.0757323 0.00843992 0.000560057 8.65759 8.45552 0.202073 1.17522
0.01 0.00234947 0.00765055 0.00234945 0.00165055 930.532 939.521 81.0751 72.0869 911.973 916.537 908.787 0.0321757 0.0221208 -0.00471068 9.62677 9.39405 0.232724 0.0693971 -0.00815749 0.0775546 0.0869086 0.00935399 0.000645992 9.62677 9.39405 0.232724 1.25926
0.011 0.00259877 0.00840125 0.00259875 0.00180125 929.7 939.385 83.8708 74.1852 909.27 914.12 905.846 0.0353081 0.0243314 -0.00515016 10.5968 10.3324 0.264425 0.077642 -0.010501 0.0881431 0.0984101 0.0102671 0.000732934 10.5968 10.3324 0.264425 1.34113
0.012 0.00285283 0.00914718 0.00285282 0.00194718 928.883 939.243 86.5101 76.1506 906.58 911.701 902.917 0.0384268 0.0265416 -0.00557953 11.5675 11.2704 0.297158 0.0859635 -0.0131175 0.099081 0.110263 0.011182 0.000818027 11.5675 11.2704 0.297158 1.42118
0.013 0.00310801 0.009892 0.003108 0.002092 928.078 939.1 88.9972 77.9746 903.9 909.283 900.001 0.041532 0.0287514 -0.00600514 12.539 12.2081 0.330853 0.0942624 -0.0159767 0.110239 0.122328 0.0120886 0.00091135 12.539 12.2081 0.330853 1.49843
0.014 0.00336475 0.0106353 0.00336475 0.00223525 927.283 938.958 91.3949 79.7205 901.228 906.868 897.098 0.044624 0.0309607 -0.00642609 13.5111 13.1456 0.365457 0.102779 -0.0190651 0.121844 0.134837 0.0129927 0.00100727 13.5111 13.1456 0.365457 1.57389
0.015 0.00362347 0.0113765 0.00362347 0.00237654 926.5 938.815 93.6664 81.3519 898.566 904.457 894.207 0.0477033 0.0331696 -0.00684153 14.4838 14.0829 0.400928 0.11125 -0.0223698 0.13362 0.147519 0.0138989 0.00110105 14.4838 14.0829 0.400928 1.64837
