dens densp densn dense densm mup mun mue nup nun xm vsigma vomega vrho E Eh El P Ph Pl S Sh Sl U Uh Ul T
0.001 2.44199e-06 0.000997598 2.44134e-06 2.96519e-46 932.022 939.824 7.80225 930.361 937.329 935.909 0.00329204 0.00221276 -0.000889239 0.940841 0.940824 1.66322e-05 0.00110275 0.00109724 5.50767e-06 0.0020026 0.00199709 2.96951e-06 0.940841 0.940824 1.66322e-05 1.04123
0.002 8.47122e-06 0.00199154 8.45902e-06 5.07126e-30 928.362 940.101 11.739 925.038 935.113 932.84 0.00656006 0.00442538 -0.00177178 1.8835 1.88341 8.76566e-05 0.00327414 0.00324501 2.91354e-05 0.00401854 0.0039894 1.06708e-05 1.8835 1.88341 8.76566e-05 1.63922
0.003 1.76159e-05 0.00298251 1.75105e-05 1.98277e-23 925.353 940.269 14.9165 920.363 932.793 929.792 0.00980666 0.0066377 -0.00264834 2.82758 2.82735 0.000232059 0.00615161 0.0060744 7.72173e-05 0.00605529 0.00597807 2.25298e-05 2.82758 2.82735 0.000232059 2.13406
0.004 2.96622e-05 0.00397069 2.93736e-05 1.06802e-19 922.696 940.385 17.6894 916.038 930.423 926.762 0.0130331 0.00884958 -0.00351901 3.77283 3.77236 0.000463664 0.00960485 0.00945049 0.000154363 0.00811763 0.00796327 3.82831e-05 3.77283 3.77236 0.000463664 2.57097
0.005 4.408e-05 0.00495595 4.40558e-05 3.06586e-17 920.247 940.47 20.2237 911.919 928.026 923.75 0.0162404 0.0110609 -0.00438331 4.7185 4.71771 0.000797295 0.0135609 0.0132954 0.000265514 0.0102078 0.00994224 5.78852e-05 4.71851 4.71771 0.000797295 2.96862
0.006 6.12785e-05 0.00593872 6.12763e-05 1.77849e-15 917.985 940.537 22.5519 907.984 925.614 920.756 0.0194293 0.0132715 -0.0052417 5.6653 5.66406 0.00123954 0.0179811 0.0175682 0.000412866 0.0123318 0.011919 8.10497e-05 5.6653 5.66406 0.00123954 3.33751
0.007 8.12595e-05 0.00691922 8.09319e-05 3.88754e-14 915.87 940.593 24.7223 904.195 923.195 917.778 0.0226004 0.0154813 -0.00609414 6.61333 6.61153 0.00179832 0.0228397 0.0222407 0.000599066 0.014493 0.013894 0.00010765 6.61333 6.61153 0.00179832 3.68389
0.008 0.000103331 0.00789687 0.000103192 4.48346e-13 913.849 940.64 26.7915 900.496 920.771 914.817 0.0257544 0.0176901 -0.00693971 7.56139 7.5589 0.00248848 0.0281111 0.027282 0.000829051 0.0166919 0.0158629 0.000137808 7.56139 7.5589 0.00248848 4.01182
0.009 0.000127899 0.00887219 0.000127837 3.29333e-12 911.924 940.683 28.7588 896.892 918.347 911.871 0.0288918 0.0198979 -0.00777879 8.51028 8.50697 0.0033133 0.0337878 0.0326839 0.00110393 0.0189329 0.017829 0.000171302 8.51029 8.50697 0.0033133 4.32446
0.01 0.000154868 0.00984518 0.000154838 1.74069e-11 910.081 940.723 30.642 893.368 915.924 908.94 0.0320129 0.0221044 -0.00861113 9.45989 9.45561 0.00428049 0.0398607 0.0384345 0.00142625 0.0212183 0.0197921 0.000208087 9.4599 9.45561 0.00428049 4.62405
0.011 0.000184176 0.0108158 0.000184161 7.17528e-11 908.309 940.762 32.453 889.913 913.505 906.024 0.0351184 0.0243097 -0.00943654 10.4102 10.4048 0.00539702 0.0463234 0.044525 0.00179836 0.0235503 0.021752 0.000248112 10.4102 10.4048 0.00539702 4.91233
