dens densp densn dense densm mup mun mue xm vsigma vomega vrho E Eh El P Ph Pl
0.001 0 0.0010002 4.82135e-06 0 930.067 940.392 10.3256 935.906 0.0032952 0.00221276 -0.000893598 0.940116 0.940079 3.73827e-05 0.000513075 0.000500674 1.24003e-05
0.00104996 1.05908e-07 0.00104987 1.05676e-07 0 937.497 940.428 2.93102 935.752 0.00345925 0.00232331 -0.000938048 0.986889 0.986888 2.35672e-07 0.000537399 0.000537325 7.4067e-08
0.00109992 4.8798e-07 0.0010998 1.17094e-07 0 937.434 940.464 3.02995 935.598 0.00362327 0.00243386 -0.000982666 1.03421 1.03421 2.69711e-07 0.000576365 0.00057628 8.50799e-08
0.00114988 4.9896e-07 0.00114975 1.30158e-07 0 937.363 940.499 3.13564 935.444 0.00378724 0.0025444 -0.00102728 1.08119 1.08119 3.09991e-07 0.000615494 0.000615396 9.81376e-08
0.00119984 5.10147e-07 0.0011997 1.44021e-07 0 937.292 940.533 3.24042 935.29 0.00395116 0.00265495 -0.00107189 1.12818 1.12818 3.54196e-07 0.000655354 0.000655242 1.12494e-07
0.0012498 5.21982e-07 0.00124964 1.58698e-07 0 937.222 940.566 3.34435 935.136 0.00411503 0.0027655 -0.0011165 1.17517 1.17517 4.02525e-07 0.000695922 0.000695794 1.28216e-07
0.00129976 5.34468e-07 0.00129959 1.742e-07 0 937.151 940.598 3.44745 934.982 0.00427885 0.00287604 -0.00116111 1.22215 1.22215 4.55178e-07 0.000737177 0.000737031 1.4537e-07
0.00134972 5.4764e-07 0.00134953 1.90542e-07 0 937.08 940.63 3.54979 934.828 0.00444263 0.00298659 -0.00120571 1.26915 1.26914 5.12361e-07 0.000779096 0.000778932 1.64024e-07
0.00139968 5.6149e-07 0.00139948 2.07737e-07 0 937.009 940.661 3.65138 934.675 0.00460635 0.00309713 -0.00125031 1.31614 1.31614 5.74279e-07 0.00082166 0.000821476 1.84248e-07
0.00144964 5.76059e-07 0.00144942 2.25796e-07 0 936.939 940.691 3.75228 934.521 0.00477002 0.00320768 -0.00129491 1.36313 1.36313 6.41139e-07 0.00086485 0.000864644 2.0611e-07
0.0014996 5.91347e-07 0.00149936 2.44733e-07 0 936.868 940.721 3.8525 934.367 0.00493365 0.00331822 -0.00133951 1.41012 1.41012 7.13153e-07 0.000908647 0.000908417 2.29681e-07
0.00154956 6.07391e-07 0.0015493 2.64559e-07 0 936.798 940.75 3.95209 934.214 0.00509722 0.00342876 -0.0013841 1.45712 1.45712 7.90531e-07 0.000953037 0.000952782 2.55032e-07
0.00159952 6.2419e-07 0.00159924 2.85288e-07 0 936.727 940.778 4.05106 934.06 0.00526075 0.00353931 -0.0014287 1.50412 1.50412 8.73487e-07 0.000998001 0.000997719 2.82233e-07
0.00164949 6.41778e-07 0.00164918 3.06931e-07 0 936.657 940.806 4.14944 933.907 0.00542423 0.00364985 -0.00147328 1.55112 1.55112 9.62236e-07 0.00104353 0.00104322 3.11356e-07
0.00169945 6.60157e-07 0.00169912 3.295e-07 0 936.587 940.834 4.24726 933.753 0.00558767 0.00376039 -0.00151787 1.59812 1.59812 1.057e-06 0.0010896 0.00108926 3.42475e-07
0.00174941 6.79363e-07 0.00174905 3.53006e-07 0 936.516 940.861 4.34454 933.6 0.00575105 0.00387093 -0.00156245 1.64512 1.64512 1.15799e-06 0.00113621 0.00113583 3.75663e-07
0.00179937 6.99403e-07 0.00179899 3.77462e-07 0 936.446 940.888 4.44129 933.446 0.00591439 0.00398147 -0.00160703 1.69212 1.69212 1.26543e-06 0.00118333 0.00118292 4.10992e-07
0.00184933 7.20299e-07 0.00184892 4.02879e-07 0 936.376 940.914 4.53754 933.293 0.00607767 0.00409201 -0.00165161 1.73912 1.73912 1.37954e-06 0.00123097 0.00123052 4.48537e-07
0.00189929 7.42068e-07 0.00189886 4.29267e-07 0 936.306 940.939 4.63331 933.14 0.00624091 0.00420255 -0.00169618 1.78613 1.78613 1.50055e-06 0.0012791 0.00127861 4.88374e-07
0.00194925 7.64728e-07 0.00194879 4.56639e-07 0 936.236 940.965 4.72861 932.987 0.00640411 0.00431308 -0.00174075 1.83313 1.83313 1.62869e-06 0.00132772 0.00132719 5.30577e-07
0.00199921 7.88297e-07 0.00199872 4.85006e-07 0 936.166 940.989 4.82345 932.833 0.00656725 0.00442362 -0.00178532 1.88014 1.88014 1.76418e-06 0.00137682 0.00137624 5.75222e-07
0.00204917 8.12794e-07 0.00204865 5.14378e-07 0 936.096 941.014 4.91786 932.68 0.00673035 0.00453416 -0.00182988 1.92715 1.92715 1.90725e-06 0.00142638 0.00142575 6.22387e-07
0.00209913 8.38241e-07 0.00209858 5.44766e-07 0 936.026 941.038 5.01184 932.527 0.0068934 0.00464469 -0.00187444 1.97416 1.97416 2.05813e-06 0.00147639 0.00147572 6.72148e-07
0.00214909 8.64652e-07 0.00214851 5.76181e-07 0 935.956 941.062 5.10541 932.374 0.00705641 0.00475523 -0.001919 2.02117 2.02117 2.21705e-06 0.00152686 0.00152614 7.24583e-07
0.00219905 8.9204e-07 0.00219844 6.08633e-07 0 935.887 941.085 5.19858 932.221 0.00721937 0.00486576 -0.00196355 2.06818 2.06818 2.38426e-06 0.00157776 0.00157698 7.7977e-07
0.00224901 9.20431e-07 0.00224837 6.42134e-07 0 935.817 941.108 5.29137 932.068 0.00738228 0.00497629 -0.0020081 2.11519 2.11519 2.55998e-06 0.0016291 0.00162826 8.37788e-07
0.00229897 9.4984e-07 0.00229829 6.76694e-07 0 935.747 941.131 5.38378 931.915 0.00754515 0.00508683 -0.00205265 2.16221 2.1622 2.74446e-06 0.00168086 0.00167996 8.98715e-07
