dens densu densd denss densp densn dense densv xmu xmd xms xm muu mud mus mup mun mue muv E Eq Eh El P Pq Ph Pl S Sq Sh Sl U Uq Uh Ul chi T
0.351246 0.444068 0.884909 0.0106688 0.106449 0.244152 0.105716 0.0347824 46.5428 33.6399 450.995 233.005 331.271 422.745 422.745 1085.29 1176.76 283.979 192.505 374.144 477.34 344.089 29.1586 73.3482 63.6288 63.6288 9.71947 0.351246 0.753634 0.241077 0.106722 377.325 477.34 344.089 32.3402 0.0067258 20.2503
0.351195 0.443943 0.884862 0.0106712 0.106419 0.24415 0.10571 0.0347681 46.5607 33.6498 450.995 233.035 331.239 422.736 422.736 1085.21 1176.71 283.971 192.474 374.079 477.282 344.056 29.1542 73.3279 63.6099 63.6098 9.71802 0.351198 0.753736 0.241124 0.106732 377.26 477.282 344.056 32.3354 0.00651864 20.2548
0.351143 0.443819 0.884814 0.0106735 0.10639 0.244149 0.105703 0.0347539 46.5787 33.6597 450.995 233.066 331.207 422.727 422.727 1085.14 1176.66 283.963 192.443 374.013 477.223 344.023 29.1498 73.3075 63.591 63.5909 9.71657 0.351146 0.753838 0.24117 0.106743 377.193 477.223 344.023 32.3305 0.00630658 20.2592
0.351092 0.443695 0.884766 0.0106758 0.106361 0.244147 0.105697 0.0347397 46.5966 33.6696 450.995 233.097 331.175 422.718 422.718 1085.07 1176.61 283.955 192.412 373.947 477.165 343.99 29.1455 73.2872 63.5721 63.572 9.71512 0.351095 0.753939 0.241217 0.106753 377.127 477.165 343.99 32.3257 0.00609473 20.2637
0.35104 0.443571 0.884718 0.0106781 0.106331 0.244145 0.10569 0.0347255 46.6146 33.6795 450.996 233.128 331.143 422.709 422.709 1084.99 1176.56 283.947 192.381 373.881 477.107 343.957 29.1411 73.2668 63.5532 63.5531 9.71367 0.351043 0.75404 0.241263 0.106763 377.061 477.107 343.957 32.3208 0.00588308 20.2681
0.350989 0.443447 0.88467 0.0106804 0.106302 0.244143 0.105684 0.0347113 46.6326 33.6895 450.996 233.158 331.111 422.7 422.7 1084.92 1176.51 283.939 192.35 373.816 477.049 343.924 29.1368 73.2465 63.5343 63.5342 9.71222 0.350992 0.754141 0.241309 0.106774 376.995 477.049 343.924 32.316 0.00567165 20.2726
0.350937 0.443323 0.884622 0.0106827 0.106273 0.244141 0.105677 0.0346972 46.6506 33.6994 450.996 233.189 331.079 422.691 422.691 1084.85 1176.46 283.931 192.318 373.75 476.99 343.891 29.1325 73.2261 63.5154 63.5154 9.71077 0.35094 0.754241 0.241355 0.106784 376.929 476.99 343.891 32.3111 0.00546044 20.277
0.350886 0.443199 0.884574 0.0106849 0.106243 0.244139 0.105671 0.034683 46.6686 33.7093 450.996 233.22 331.047 422.682 422.682 1084.77 1176.41 283.923 192.287 373.685 476.932 343.858 29.1281 73.2058 63.4965 63.4965 9.70933 0.350889 0.754342 0.241402 0.106795 376.863 476.932 343.858 32.3063 0.00524944 20.2815
0.350834 0.443075 0.884526 0.0106872 0.106214 0.244138 0.105665 0.0346688 46.6866 33.7193 450.996 233.251 331.015 422.673 422.673 1084.7 1176.36 283.915 192.257 373.619 476.874 343.825 29.1238 73.1855 63.4776 63.4776 9.70788 0.350837 0.754442 0.241448 0.106805 376.797 476.874 343.825 32.3015 0.00503866 20.2859
0.350783 0.442951 0.884478 0.0106895 0.106185 0.244136 0.105658 0.0346547 46.7046 33.7292 450.996 233.282 330.983 422.664 422.664 1084.63 1176.31 283.907 192.226 373.554 476.815 343.792 29.1194 73.1651 63.4587 63.4587 9.70643 0.350786 0.754543 0.241494 0.106815 376.731 476.815 343.792 32.2966 0.0048281 20.2903
0.350731 0.442827 0.88443 0.0106917 0.106156 0.244134 0.105652 0.0346406 46.7227 33.7392 450.996 233.312 330.951 422.655 422.655 1084.56 1176.26 283.899 192.195 373.488 476.757 343.759 29.1151 73.1448 63.4398 63.4398 9.70499 0.350735 0.754643 0.24154 0.106826 376.665 476.757 343.759 32.2918 0.00461776 20.2948
0.35068 0.442704 0.884382 0.010694 0.106126 0.244132 0.105645 0.0346264 46.7407 33.7492 450.996 233.343 330.919 422.646 422.646 1084.48 1176.21 283.891 192.164 373.423 476.699 343.726 29.1108 73.1245 63.4209 63.4209 9.70355 0.350684 0.754743 0.241586 0.106836 376.599 476.699 343.726 32.287 0.00440764 20.2992
