dens densu densd denss densp densn dense densm xmu xmd xms xm muu mud mus mup mun mue E Eq Eh El P Pq Ph Pl S Sq Sh Sl U Uq Uh Ul chi T
0.608576 0.614421 1.03112 0.443304 0.145485 0.344386 0.010378 0.00436138 27.0217 20.1266 371.898 162.763 416.379 528.046 528.046 1360.8 1472.47 111.667 742.884 897.991 528.05 2.08331 189.31 188.717 188.717 0.592697 1.21715 1.7646 0.394419 0.0347471 742.884 897.991 528.05 2.08331 0.575095 29.6457
0.608362 0.614171 1.03104 0.443185 0.145414 0.344392 0.0103923 0.0043706 27.0346 20.1328 371.92 162.793 416.299 528.023 528.023 1360.62 1472.35 111.724 742.556 897.791 527.965 2.0874 189.245 188.651 188.651 0.59386 1.21672 1.76488 0.394508 0.0347965 742.556 897.791 527.965 2.0874 0.574604 29.655
0.608147 0.613921 1.03097 0.443066 0.145342 0.344398 0.0104065 0.00437986 27.0475 20.1389 371.942 162.823 416.219 528 528 1360.44 1472.22 111.781 742.226 897.592 527.88 2.0915 189.18 188.585 188.585 0.59503 1.21629 1.76515 0.394597 0.0348461 742.226 897.592 527.88 2.0915 0.57411 29.6644
0.607932 0.61367 1.03089 0.442947 0.145271 0.344405 0.0104208 0.00438913 27.0605 20.1451 371.964 162.853 416.139 527.978 527.978 1360.26 1472.1 111.838 741.898 897.392 527.795 2.09561 189.116 188.519 188.519 0.596201 1.21586 1.76543 0.394687 0.0348958 741.898 897.392 527.795 2.09561 0.573616 29.6737
0.607718 0.613421 1.03081 0.442829 0.145199 0.344411 0.0104351 0.0043984 27.0735 20.1513 371.986 162.882 416.06 527.955 527.955 1360.07 1471.97 111.895 741.569 897.193 527.71 2.09972 189.051 188.454 188.454 0.597372 1.21544 1.76571 0.394776 0.0349454 741.569 897.193 527.71 2.09972 0.573123 29.683
0.607503 0.613171 1.03073 0.44271 0.145128 0.344418 0.0104494 0.00440768 27.0864 20.1574 372.008 162.912 415.98 527.932 527.932 1359.89 1471.85 111.952 741.241 896.994 527.625 2.10383 188.986 188.388 188.388 0.598545 1.21501 1.76599 0.394866 0.0349951 741.241 896.994 527.625 2.10383 0.572631 29.6923
0.607289 0.612921 1.03066 0.442591 0.145057 0.344424 0.0104637 0.00441697 27.0994 20.1636 372.031 162.942 415.9 527.91 527.91 1359.71 1471.72 112.009 740.913 896.795 527.54 2.10794 188.922 188.322 188.322 0.599719 1.21458 1.76626 0.394955 0.0350448 740.913 896.795 527.54 2.10794 0.572139 29.7016
0.607075 0.612672 1.03058 0.442472 0.144985 0.34443 0.010478 0.00442627 27.1124 20.1698 372.053 162.972 415.821 527.887 527.887 1359.53 1471.6 112.066 740.585 896.596 527.455 2.11206 188.857 188.256 188.256 0.600893 1.21415 1.76654 0.395044 0.0350945 740.585 896.596 527.455 2.11206 0.571648 29.711
0.606862 0.612422 1.0305 0.442353 0.144914 0.344437 0.0104923 0.00443557 27.1254 20.176 372.075 163.002 415.741 527.864 527.864 1359.35 1471.47 112.123 740.258 896.396 527.37 2.11619 188.793 188.191 188.191 0.602069 1.21372 1.76681 0.395134 0.0351442 740.258 896.396 527.37 2.11619 0.571157 29.7203
0.606648 0.612173 1.03042 0.442234 0.144843 0.344443 0.0105066 0.00444488 27.1384 20.1822 372.097 163.032 415.662 527.842 527.842 1359.16 1471.35 112.18 739.931 896.197 527.285 2.12031 188.728 188.125 188.125 0.603246 1.2133 1.76709 0.395223 0.035194 739.931 896.197 527.285 2.12031 0.570667 29.7296
0.606435 0.611924 1.03035 0.442115 0.144772 0.344449 0.0105209 0.00445419 27.1514 20.1884 372.119 163.061 415.582 527.819 527.819 1358.98 1471.22 112.237 739.605 895.998 527.2 2.12444 188.664 188.059 188.059 0.604423 1.21287 1.76737 0.395312 0.0352437 739.605 895.998 527.2 2.12444 0.570177 29.7389
0.606222 0.611675 1.03027 0.441995 0.144701 0.344455 0.0105352 0.00446352 27.1644 20.1946 372.141 163.091 415.503 527.796 527.796 1358.8 1471.1 112.294 739.278 895.799 527.115 2.12858 188.599 187.993 187.993 0.605602 1.21244 1.76764 0.395401 0.0352935 739.278 895.799 527.115 2.12858 0.569688 29.7482
