dens densu densd denss densp densn dense densm xmu xmd xms xm muu mud mus mup mun mue E Eq Eh El P Pq Ph Pl chi
0.249591 0.205025 0.697479 0 0.0542235 0.168696 0.00286639 0 129.427 84.8658 458.185 401.732 274.081 360.8 360.8 908.961 995.68 86.7187 240.32 299.714 209.125 0.18643 8.19215 8.13 8.03504e-05 0.062139 0.342306
0.249633 0.205131 0.69755 0 0.0542335 0.168702 0.00286588 0 129.367 84.8284 458.179 401.7 274.088 360.801 360.801 908.976 995.69 86.7135 240.362 299.768 209.139 0.186386 8.19456 8.13239 8.03749e-05 0.0621243 0.342457
0.249675 0.205234 0.697618 0 0.0542435 0.168708 0.00286536 0 129.309 84.7919 458.174 401.668 274.094 360.803 360.803 908.992 995.7 86.7083 240.404 299.821 209.154 0.186341 8.19706 8.1349 8.03997e-05 0.0621094 0.34261
0.249716 0.205337 0.697687 0 0.0542536 0.168713 0.00286484 0 129.251 84.7556 458.168 401.636 274.101 360.804 360.804 909.007 995.71 86.7031 240.445 299.874 209.169 0.186296 8.19956 8.13741 8.04246e-05 0.0620945 0.342762
0.249758 0.20544 0.697755 0 0.0542636 0.168719 0.00286433 0 129.193 84.7192 458.163 401.605 274.108 360.806 360.806 909.022 995.72 86.6979 240.487 299.927 209.184 0.186252 8.20205 8.13993 8.04494e-05 0.0620796 0.342914
0.2498 0.205542 0.697823 0 0.0542737 0.168725 0.00286381 0 129.135 84.683 458.158 401.573 274.115 360.808 360.808 909.037 995.73 86.6927 240.529 299.98 209.199 0.186207 8.20455 8.14244 8.04742e-05 0.0620647 0.343066
0.249842 0.205645 0.697891 0 0.0542837 0.16873 0.0028633 0 129.077 84.6468 458.153 401.541 274.122 360.809 360.809 909.053 995.74 86.6875 240.57 300.032 209.213 0.186162 8.20705 8.14495 8.04991e-05 0.0620497 0.343218
0.249883 0.205747 0.697959 0 0.0542938 0.168736 0.00286278 0 129.02 84.6107 458.147 401.509 274.129 360.811 360.811 909.068 995.75 86.6823 240.612 300.085 209.228 0.186117 8.20955 8.14747 8.05239e-05 0.0620348 0.343371
0.249925 0.20585 0.698027 0 0.0543038 0.168742 0.00286226 0 128.962 84.5746 458.142 401.478 274.135 360.812 360.812 909.083 995.76 86.677 240.653 300.137 209.243 0.186072 8.21205 8.14998 8.05488e-05 0.0620198 0.343523
0.249967 0.205952 0.698095 0 0.0543139 0.168747 0.00286174 0 128.904 84.5385 458.137 401.446 274.142 360.814 360.814 909.098 995.77 86.6718 240.695 300.19 209.258 0.186028 8.21455 8.15249 8.05736e-05 0.0620049 0.343675
0.250008 0.206054 0.698162 0 0.054324 0.168753 0.00286122 0 128.847 84.5026 458.132 401.414 274.149 360.816 360.816 909.113 995.78 86.6666 240.736 300.242 209.272 0.185983 8.21705 8.15501 8.05985e-05 0.0619899 0.343827
0.25005 0.206156 0.69823 0 0.054334 0.168759 0.00286071 0 128.789 84.4667 458.126 401.382 274.156 360.817 360.817 909.129 995.79 86.6614 240.778 300.295 209.287 0.185938 8.21955 8.15753 8.06233e-05 0.0619749 0.343979
0.250092 0.206258 0.698297 0 0.0543441 0.168764 0.00286019 0 128.732 84.4308 458.121 401.351 274.163 360.819 360.819 909.144 995.8 86.6561 240.819 300.347 209.302 0.185893 8.22205 8.16004 8.06482e-05 0.0619599 0.344131
0.250133 0.206359 0.698364 0 0.0543542 0.16877 0.00285967 0 128.675 84.395 458.116 401.319 274.169 360.82 360.82 909.159 995.81 86.6509 240.861 300.399 209.317 0.185848 8.22455 8.16256 8.0673e-05 0.0619449 0.344283
0.250175 0.206461 0.698431 0 0.0543642 0.168776 0.00285915 0 128.617 84.3593 458.111 401.287 274.176 360.822 360.822 909.174 995.82 86.6456 240.902 300.451 209.332 0.185803 8.22705 8.16507 8.06979e-05 0.0619299 0.344435
