dens densu densd denss densp densn dense densm xmu xmd xms xm muu mud mus mup mun mue E Eq Eh El P Pq Ph Pl chi
0.308489 0.179487 0.82733 0 0.0490936 0.254653 0.0138988 0.00464799 128.089 74.7415 457.199 284.635 274.663 421.439 421.439 970.764 1117.54 146.776 306.638 360.438 294.714 2.14103 38.1104 37.5292 0.000370908 0.581199 0.148855
0.308607 0.179889 0.827667 0 0.0491379 0.254692 0.0138934 0.0046442 127.854 74.6079 457.18 284.529 274.717 421.474 421.474 970.908 1117.66 146.757 306.771 360.691 294.8 2.13967 38.1488 37.568 0.000371291 0.580843 0.149206
0.308726 0.180291 0.828002 0 0.0491823 0.254731 0.0138878 0.00464034 127.619 74.4747 457.162 284.422 274.772 421.509 421.509 971.053 1117.79 146.737 306.904 360.943 294.887 2.13829 38.1874 37.6069 0.000371676 0.58048 0.14955
0.308845 0.180693 0.828337 0 0.0492269 0.254769 0.0138822 0.00463646 127.385 74.3419 457.144 284.316 274.827 421.544 421.544 971.197 1117.91 146.718 307.037 361.194 294.974 2.1369 38.226 37.6459 0.000372061 0.580115 0.149895
0.308964 0.181093 0.828671 0 0.0492715 0.254808 0.0138766 0.00463257 127.152 74.2095 457.125 284.21 274.881 421.579 421.579 971.342 1118.04 146.698 307.17 361.445 295.06 2.13551 38.2646 37.6849 0.000372447 0.579749 0.150241
0.309083 0.181493 0.829004 0 0.0493162 0.254847 0.0138709 0.00462865 126.919 74.0774 457.107 284.104 274.936 421.614 421.614 971.487 1118.16 146.678 307.303 361.695 295.147 2.1341 38.3032 37.7239 0.000372832 0.579381 0.150588
0.309202 0.181893 0.829336 0 0.049361 0.254886 0.0138653 0.00462471 126.687 73.9457 457.089 283.998 274.991 421.649 421.649 971.632 1118.29 146.658 307.436 361.945 295.234 2.13269 38.3419 37.7629 0.000373218 0.579011 0.150935
0.309321 0.182292 0.829668 0 0.0494058 0.254924 0.0138596 0.00462076 126.455 73.8143 457.071 283.892 275.046 421.684 421.684 971.777 1118.41 146.638 307.569 362.195 295.321 2.13128 38.3805 37.8019 0.000373603 0.578639 0.151283
0.30944 0.18269 0.829999 0 0.0494507 0.254963 0.0138538 0.00461678 126.224 73.6832 457.054 283.786 275.102 421.719 421.719 971.922 1118.54 146.618 307.702 362.444 295.407 2.12985 38.4192 37.841 0.000373989 0.578265 0.151632
0.309559 0.183088 0.830329 0 0.0494956 0.255001 0.0138481 0.00461279 125.994 73.5525 457.036 283.68 275.157 421.754 421.754 972.068 1118.66 146.597 307.835 362.692 295.494 2.12842 38.4579 37.88 0.000374375 0.57789 0.151982
0.309678 0.183485 0.830658 0 0.0495407 0.255039 0.0138423 0.00460877 125.763 73.4222 457.018 283.574 275.212 421.789 421.789 972.213 1118.79 146.577 307.969 362.941 295.581 2.12698 38.4966 37.9191 0.000374762 0.577513 0.152332
0.309798 0.183882 0.830987 0 0.0495858 0.255078 0.0138365 0.00460474 125.534 73.2921 457 283.468 275.267 421.824 421.824 972.359 1118.91 146.556 308.102 363.188 295.667 2.12554 38.5353 37.9582 0.000375148 0.577134 0.152684
0.309917 0.184278 0.831314 0 0.0496309 0.255116 0.0138306 0.00460068 125.304 73.1625 456.983 283.362 275.323 421.859 421.859 972.504 1119.04 146.536 308.236 363.436 295.754 2.12409 38.5741 37.9973 0.000375534 0.576753 0.153036
0.310036 0.184673 0.831642 0 0.0496761 0.255154 0.0138247 0.00459661 125.076 73.0332 456.965 283.257 275.378 421.893 421.893 972.65 1119.16 146.515 308.369 363.683 295.84 2.12263 38.6128 38.0365 0.000375921 0.57637 0.153389
0.310156 0.185068 0.831968 0 0.0497214 0.255192 0.0138188 0.00459252 124.848 72.9042 456.948 283.151 275.434 421.928 421.928 972.796 1119.29 146.494 308.503 363.929 295.927 2.12116 38.6516 38.0756 0.000376308 0.575986 0.153742
0.310275 0.185462 0.832294 0 0.0497668 0.25523 0.0138129 0.00458841 124.62 72.7756 456.931 283.045 275.49 421.963 421.963 972.942 1119.41 146.473 308.637 364.175 296.014 2.11969 38.6903 38.1148 0.000376695 0.575599 0.154097
0.310395 0.185856 0.832618 0 0.0498122 0.255268 0.0138069 0.00458428 124.393 72.6473 456.914 282.94 275.545 421.997 421.997 973.088 1119.54 146.452 308.771 364.42 296.1 2.11821 38.7291 38.1539 0.000377082 0.575212 0.154452
0.310515 0.186249 0.832943 0 0.0498577 0.255306 0.0138009 0.00458013 124.166 72.5194 456.896 282.834 275.601 422.032 422.032 973.234 1119.66 146.431 308.905 364.666 296.187 2.11673 38.7679 38.1931 0.00037747 0.574822 0.154808
0.310634 0.186641 0.833266 0 0.0499033 0.255343 0.0137949 0.00457596 123.94 72.3918 456.879 282.729 275.657 422.066 422.066 973.381 1119.79 146.409 309.039 364.91 296.273 2.11524 38.8068 38.2324 0.000377857 0.57443 0.155165
0.310754 0.187033 0.833589 0 0.0499489 0.255381 0.0137889 0.00457177 123.715 72.2645 456.862 282.623 275.713 422.101 422.101 973.527 1119.91 146.388 309.173 365.155 296.36 2.11374 38.8456 38.2716 0.000378245 0.574037 0.155522
0.310874 0.187424 0.833911 0 0.0499946 0.255419 0.0137828 0.00456756 123.49 72.1376 456.845 282.518 275.769 422.136 422.136 973.673 1120.04 146.367 309.307 365.398 296.447 2.11223 38.8845 38.3108 0.000378633 0.573642 0.155881
