dens densu densd denss dense densm xmu xmd xms muu mud mus mue mun nuu nud nus E Eq El P Pq Pl
0.01 0.0100007 0.0199993 0 7.11459e-07 0 306.056 304.198 505.786 319.009 324.482 324.482 5.47366 967.973 319.353 325.172 324.482 9.5741 9.5741 2.93321e-06 0.105631 0.10563 9.61076e-07
0.0100795 0.0100802 0.0201583 0 7.20669e-07 0 306.009 304.137 505.767 319.03 324.527 324.527 5.49697 968.084 319.377 325.222 324.527 9.65106 9.65105 2.98373e-06 0.106746 0.106745 9.7777e-07
0.010159 0.0101597 0.0203173 0 7.2992e-07 0 305.963 304.076 505.749 319.051 324.571 324.571 5.52019 968.194 319.401 325.272 324.571 9.72802 9.72802 3.03469e-06 0.10786 0.107859 9.9461e-07
0.0102385 0.0102392 0.0204763 0 7.3921e-07 0 305.916 304.014 505.731 319.072 324.616 324.616 5.54331 968.303 319.425 325.321 324.616 9.805 9.805 3.08608e-06 0.108976 0.108975 1.01159e-06
0.010318 0.0103188 0.0206353 0 7.48538e-07 0 305.869 303.953 505.712 319.093 324.659 324.659 5.56633 968.412 319.449 325.371 324.659 9.88198 9.88198 3.13789e-06 0.110093 0.110092 1.02872e-06
0.0103975 0.0103983 0.0207942 0 7.57905e-07 0 305.822 303.892 505.694 319.114 324.703 324.703 5.58926 968.52 319.472 325.42 324.703 9.95898 9.95897 3.19014e-06 0.111211 0.11121 1.04599e-06
0.010477 0.0104778 0.0209532 0 7.67311e-07 0 305.776 303.831 505.676 319.134 324.746 324.746 5.6121 968.627 319.496 325.469 324.746 10.036 10.036 3.24282e-06 0.112331 0.11233 1.0634e-06
0.0105565 0.0105573 0.0211122 0 7.76755e-07 0 305.729 303.77 505.658 319.155 324.79 324.79 5.63484 968.734 319.519 325.517 324.79 10.113 10.113 3.29593e-06 0.113452 0.113451 1.08096e-06
0.010636 0.0106368 0.0212712 0 7.86236e-07 0 305.682 303.709 505.639 319.175 324.832 324.832 5.65748 968.84 319.542 325.566 324.832 10.19 10.19 3.34946e-06 0.114575 0.114574 1.09866e-06
0.0107155 0.0107163 0.0214302 0 7.95756e-07 0 305.636 303.647 505.621 319.195 324.875 324.875 5.68004 968.945 319.564 325.614 324.875 10.267 10.267 3.40342e-06 0.115698 0.115697 1.1165e-06
0.010795 0.0107958 0.0215892 0 8.05313e-07 0 305.589 303.586 505.603 319.215 324.917 324.917 5.70251 969.05 319.587 325.662 324.917 10.3441 10.3441 3.45782e-06 0.116823 0.116822 1.13448e-06
0.0108745 0.0108753 0.0217482 0 8.14907e-07 0 305.542 303.525 505.584 319.235 324.959 324.959 5.72488 969.154 319.61 325.709 324.959 10.4211 10.4211 3.51264e-06 0.117949 0.117948 1.15261e-06
0.010954 0.0109548 0.0219072 0 8.24539e-07 0 305.495 303.464 505.566 319.254 325.001 325.001 5.74717 969.257 319.632 325.757 325.001 10.4982 10.4982 3.56788e-06 0.119077 0.119075 1.17088e-06
0.0110335 0.0110343 0.0220662 0 8.34207e-07 0 305.449 303.403 505.548 319.274 325.043 325.043 5.76937 969.359 319.654 325.804 325.043 10.5752 10.5752 3.62356e-06 0.120205 0.120204 1.18929e-06
0.011113 0.0111138 0.0222252 0 8.43913e-07 0 305.402 303.342 505.53 319.293 325.084 325.084 5.79148 969.461 319.676 325.851 325.084 10.6523 10.6523 3.67966e-06 0.121334 0.121333 1.20785e-06
0.0111925 0.0111934 0.0223841 0 8.53655e-07 0 305.355 303.281 505.511 319.312 325.125 325.125 5.81351 969.563 319.698 325.897 325.125 10.7294 10.7294 3.73619e-06 0.122465 0.122464 1.22654e-06
0.011272 0.0112729 0.0225431 0 8.63433e-07 0 305.308 303.22 505.493 319.331 325.166 325.166 5.83545 969.664 319.72 325.944 325.166 10.8065 10.8064 3.79314e-06 0.123596 0.123595 1.24538e-06
0.0113515 0.0113524 0.0227021 0 8.73248e-07 0 305.262 303.158 505.475 319.35 325.207 325.207 5.85731 969.764 319.741 325.99 325.207 10.8835 10.8835 3.85052e-06 0.124729 0.124728 1.26436e-06
0.011431 0.0114319 0.0228611 0 8.83098e-07 0 305.215 303.097 505.457 319.368 325.247 325.247 5.87909 969.863 319.762 326.036 325.247 10.9606 10.9606 3.90833e-06 0.125862 0.125861 1.28348e-06
0.0115105 0.0115114 0.0230201 0 8.92985e-07 0 305.168 303.036 505.438 319.387 325.288 325.288 5.90078 969.962 319.784 326.081 325.288 11.0378 11.0377 3.96656e-06 0.126997 0.126995 1.30275e-06
0.01159 0.0115909 0.0231791 0 9.02907e-07 0 305.122 302.975 505.42 319.405 325.328 325.328 5.92239 970.06 319.805 326.127 325.328 11.1149 11.1149 4.02522e-06 0.128132 0.128131 1.32216e-06
0.0116695 0.0116704 0.0233381 0 9.12865e-07 0 305.075 302.914 505.402 319.423 325.367 325.367 5.94392 970.158 319.826 326.172 325.367 11.192 11.192 4.0843e-06 0.129268 0.129267 1.3417e-06
0.011749 0.0117499 0.0234971 0 9.22858e-07 0 305.028 302.853 505.384 319.441 325.407 325.407 5.96538 970.255 319.847 326.217 325.407 11.2691 11.2691 4.1438e-06 0.130405 0.130404 1.36139e-06
0.0118285 0.0118294 0.0236561 0 9.32887e-07 0 304.981 302.792 505.365 319.459 325.446 325.446 5.98675 970.352 319.867 326.262 325.446 11.3463 11.3463 4.20373e-06 0.131543 0.131542 1.38122e-06
0.011908 0.0119089 0.0238151 0 9.4295e-07 0 304.935 302.731 505.347 319.477 325.485 325.485 6.00804 970.448 319.888 326.306 325.485 11.4234 11.4234 4.26409e-06 0.132682 0.13268 1.40119e-06
0.0119875 0.0119885 0.023974 0 9.53048e-07 0 304.888 302.67 505.329 319.495 325.524 325.524 6.02926 970.543 319.908 326.351 325.524 11.5006 11.5006 4.32487e-06 0.133821 0.13382 1.42131e-06
0.012067 0.012068 0.024133 0 9.63181e-07 0 304.841 302.608 505.311 319.512 325.563 325.563 6.0504 970.638 319.928 326.395 325.563 11.5777 11.5777 4.38607e-06 0.134962 0.13496 1.44156e-06
0.0121465 0.0121475 0.024292 0 9.73349e-07 0 304.794 302.547 505.293 319.53 325.601 325.601 6.07146 970.732 319.949 326.439 325.601 11.6549 11.6549 4.44769e-06 0.136103 0.136101 1.46196e-06
0.012226 0.012227 0.024451 0 9.8355e-07 0 304.748 302.486 505.274 319.547 325.639 325.639 6.09245 970.826 319.969 326.482 325.639 11.7321 11.7321 4.50974e-06 0.137244 0.137243 1.48249e-06
0.0123055 0.0123065 0.02461 0 9.93786e-07 0 304.701 302.425 505.256 319.564 325.677 325.677 6.11337 970.919 319.988 326.526 325.677 11.8093 11.8093 4.57221e-06 0.138386 0.138385 1.50317e-06
0.012385 0.012386 0.024769 0 1.00406e-06 0 304.654 302.364 505.238 319.581 325.715 325.715 6.13421 971.011 320.008 326.569 325.715 11.8864 11.8864 4.6351e-06 0.139529 0.139528 1.52399e-06
0.0124645 0.0124655 0.024928 0 1.01436e-06 0 304.608 302.303 505.22 319.598 325.753 325.753 6.15497 971.103 320.028 326.612 325.753 11.9636 11.9636 4.69841e-06 0.140673 0.140671 1.54495e-06
0.012544 0.012545 0.025087 0 1.0247e-06 0 304.561 302.242 505.201 319.615 325.79 325.79 6.17567 971.195 320.047 326.655 325.79 12.0409 12.0409 4.76215e-06 0.141817 0.141816 1.56605e-06
0.0126235 0.0126245 0.025246 0 1.03507e-06 0 304.514 302.181 505.183 319.631 325.827 325.827 6.19629 971.286 320.066 326.698 325.827 12.1181 12.1181 4.8263e-06 0.142962 0.14296 1.58729e-06
0.012703 0.012704 0.025405 0 1.04547e-06 0 304.467 302.12 505.165 319.648 325.864 325.864 6.21684 971.376 320.086 326.74 325.864 12.1953 12.1953 4.89088e-06 0.144107 0.144106 1.60867e-06
0.0127825 0.0127836 0.0255639 0 1.05591e-06 0 304.421 302.059 505.147 319.664 325.901 325.901 6.23733 971.466 320.105 326.783 325.901 12.2725 12.2725 4.95588e-06 0.145253 0.145251 1.63019e-06
0.012862 0.0128631 0.0257229 0 1.06638e-06 0 304.374 301.998 505.129 319.68 325.938 325.938 6.25774 971.556 320.124 326.825 325.938 12.3498 12.3497 5.0213e-06 0.146399 0.146398 1.65185e-06
