dens densu densd denss dense densm xmu xmd xms muu mud mus mue mun nuu nud nus E Eq El P Pq Pl
0.01 0.0100009 0.0199991 0 8.55746e-07 0 306.056 304.198 505.786 319.353 325.172 325.172 5.81822 969.697 319.353 325.172 325.172 9.58272 9.58271 3.74835e-06 0.11425 0.114249 1.23057e-06
0.0100795 0.0100804 0.0201581 0 8.67382e-07 0 306.009 304.137 505.767 319.378 325.222 325.222 5.84427 969.821 319.378 325.222 325.222 9.65981 9.65981 3.81621e-06 0.115502 0.115501 1.25301e-06
0.010159 0.0101599 0.0203171 0 8.7908e-07 0 305.963 304.076 505.749 319.402 325.272 325.272 5.87023 969.945 319.402 325.272 325.272 9.73692 9.73692 3.88472e-06 0.116755 0.116754 1.27568e-06
0.0102385 0.0102394 0.0204761 0 8.90838e-07 0 305.916 304.014 505.731 319.425 325.321 325.321 5.89608 970.068 319.425 325.321 325.321 9.81403 9.81403 3.9539e-06 0.118011 0.11801 1.29856e-06
0.010318 0.0103189 0.0206351 0 9.02655e-07 0 305.869 303.953 505.712 319.449 325.371 325.371 5.92185 970.191 319.449 325.371 325.371 9.89116 9.89116 4.02372e-06 0.119269 0.119268 1.32166e-06
0.0103975 0.0103984 0.0207941 0 9.14531e-07 0 305.822 303.892 505.694 319.472 325.42 325.42 5.94751 970.312 319.472 325.42 325.42 9.96829 9.96829 4.09421e-06 0.120529 0.120528 1.34498e-06
0.010477 0.0104779 0.0209531 0 9.26467e-07 0 305.776 303.831 505.676 319.496 325.469 325.469 5.97308 970.433 319.496 325.469 325.469 10.0454 10.0454 4.16534e-06 0.121792 0.121791 1.36852e-06
0.0105565 0.0105574 0.0211121 0 9.38461e-07 0 305.729 303.77 505.658 319.519 325.517 325.517 5.99856 970.554 319.519 325.517 325.517 10.1226 10.1226 4.23714e-06 0.123057 0.123056 1.39228e-06
0.010636 0.010637 0.0212711 0 9.50514e-07 0 305.682 303.709 505.639 319.542 325.566 325.566 6.02395 970.673 319.542 325.566 325.566 10.1998 10.1998 4.30959e-06 0.124325 0.124324 1.41625e-06
0.0107155 0.0107165 0.02143 0 9.62625e-07 0 305.636 303.647 505.621 319.565 325.614 325.614 6.04924 970.792 319.565 325.614 325.614 10.2769 10.2769 4.3827e-06 0.125595 0.125594 1.44045e-06
0.010795 0.010796 0.021589 0 9.74794e-07 0 305.589 303.586 505.603 319.587 325.662 325.662 6.07444 970.91 319.587 325.662 325.662 10.3541 10.3541 4.45647e-06 0.126867 0.126866 1.46486e-06
